Rooms,Distance,Postcode,Bedroom,Bathroom,Latitude,Longtitude,Propertycount,Price,car_low,car_mid,car_high,Type_h,Type_t,Type_u,YearBuilt_bin_mod,YearBuilt_bin_new,YearBuilt_bin_new_mod,YearBuilt_bin_old,Landsize_bin_huge,Landsize_bin_large,Landsize_bin_medium,Landsize_bin_small,Landsize_bin_tiny,Landsize_bin_xlarge,BuildingArea_bin_0-100,BuildingArea_bin_100-200,BuildingArea_bin_200-300,BuildingArea_bin_300-400,BuildingArea_bin_400-500,BuildingArea_bin_500+,Year,Month,Day,Suburb_ID,UnitNumber,CouncilArea_Banyule City Council,CouncilArea_Bayside City Council,CouncilArea_Boroondara City Council,CouncilArea_Brimbank City Council,CouncilArea_Cardinia Shire Council,CouncilArea_Casey City Council,CouncilArea_Darebin City Council,CouncilArea_Frankston City Council,CouncilArea_Glen Eira City Council,CouncilArea_Greater Dandenong City Council,CouncilArea_Hobsons Bay City Council,CouncilArea_Hume City Council,CouncilArea_Kingston City Council,CouncilArea_Knox City Council,CouncilArea_Macedon Ranges Shire Council,CouncilArea_Manningham City Council,CouncilArea_Maribyrnong City Council,CouncilArea_Maroondah City Council,CouncilArea_Melbourne City Council,CouncilArea_Melton City Council,CouncilArea_Mitchell Shire Council,CouncilArea_Monash City Council,CouncilArea_Moonee Valley City Council,CouncilArea_Moorabool Shire Council,CouncilArea_Moreland City Council,CouncilArea_Nillumbik Shire Council,CouncilArea_Port Phillip City Council,CouncilArea_Stonnington City Council,CouncilArea_Whitehorse City Council,CouncilArea_Whittlesea City Council,CouncilArea_Wyndham City Council,CouncilArea_Yarra City Council,CouncilArea_Yarra Ranges Shire Council,Method_PI,Method_S,Method_SA,Method_SP,Method_VB,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,ParkingArea_Attached Garage,ParkingArea_Carport,ParkingArea_Detached Garage,ParkingArea_Indoor,ParkingArea_Outdoor Stall,ParkingArea_Parkade,ParkingArea_Parking Pad,ParkingArea_Underground,Direction_East,Direction_North,Direction_South,Direction_West,Rooms^2,Rooms Bedroom,Rooms Bathroom,Rooms Distance,Rooms Propertycount,Bedroom^2,Bedroom Bathroom,Bedroom Distance,Bedroom Propertycount,Bathroom^2,Bathroom Distance,Bathroom Propertycount,Distance^2,Distance Propertycount,Propertycount^2
3,13.5,3042.0,3.0,2.0,-37.718,144.878,3464.0,840000.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2016,9,3,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,9.0,6.0,40.5,10392.0,9.0,6.0,40.5,10392.0,4.0,27.0,6928.0,182.25,46764.0,11999296.0
3,13.8,3018.0,3.0,2.0,-37.87,144.825,5301.0,520000.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2016,9,3,3,158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,9.0,9.0,6.0,41.400000000000006,15903.0,9.0,6.0,41.400000000000006,15903.0,4.0,27.6,10602.0,190.44000000000003,73153.8,28100601.0
5,11.1,3025.0,5.0,3.0,-37.8388,144.8567,5132.0,1085000.0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2016,9,3,4,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,25.0,25.0,15.0,55.5,25660.0,25.0,15.0,55.5,25660.0,9.0,33.3,15396.0,123.21,56965.2,26337424.0
3,11.1,3025.0,3.0,1.0,-37.8291,144.835,5132.0,781000.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2016,9,3,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,9.0,9.0,3.0,33.3,15396.0,9.0,3.0,33.3,15396.0,1.0,11.1,5132.0,123.21,56965.2,26337424.0
4,11.1,3025.0,4.0,2.058564231738035,-37.83494151898735,144.8497475949367,5132.0,857500.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2016,9,3,4,103,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,16.0,16.0,8.23425692695214,44.4,20528.0,16.0,8.23425692695214,44.4,20528.0,4.237686696191206,22.85006297229219,10564.551637279596,123.21,56965.2,26337424.0
2,5.9,3032.0,3.0,1.0,-37.7756,144.9165,6567.0,455000.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2016,9,3,6,2/43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4.0,6.0,2.0,11.8,13134.0,9.0,3.0,17.700000000000003,19701.0,1.0,5.9,6567.0,34.81,38745.3,43125489.0
4,10.5,3034.0,4.0,2.058564231738035,-37.76093513274336,144.8607624778761,4502.0,1310000.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,16.0,16.0,8.23425692695214,42.0,18008.0,16.0,8.23425692695214,42.0,18008.0,4.237686696191206,21.614924433249367,9267.656171284634,110.25,47271.0,20268004.0
3,10.5,3034.0,3.0,1.0,-37.7677,144.8674,4502.0,850000.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2016,9,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,9.0,9.0,3.0,31.5,13506.0,9.0,3.0,31.5,13506.0,1.0,10.5,4502.0,110.25,47271.0,20268004.0
3,10.5,3034.0,3.0,1.0,-37.7634,144.8611,4502.0,750000.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9.0,9.0,3.0,31.5,13506.0,9.0,3.0,31.5,13506.0,1.0,10.5,4502.0,110.25,47271.0,20268004.0
3,10.8,3019.0,3.0,2.0,-37.7824,144.8469,3589.0,870000.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,16,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9.0,9.0,6.0,32.400000000000006,10767.0,9.0,6.0,32.400000000000006,10767.0,4.0,21.6,7178.0,116.64,38761.2,12880921.0
